samples_per_class,seed,n_components,accuracy,train_time_sec,test_time_sec
1,0,1,34.64,1.1492865085601807,13.523516178131104
1,1,1,31.48,0.6660904884338379,6.392423868179321
1,2,1,41.6,0.54825758934021,6.275758266448975
1,3,1,47.83,0.42974305152893066,6.1332573890686035
1,4,1,37.9,0.42255616188049316,6.247945070266724
2,0,1,53.37,0.5498957633972168,6.232424736022949
2,1,1,51.58,0.4244401454925537,6.122566223144531
2,2,1,49.9,0.42688727378845215,6.142692565917969
2,3,1,55.75,0.43845558166503906,6.182384252548218
2,4,1,49.32,0.4625740051269531,6.188369989395142
3,0,2,58.14,0.4600541591644287,6.039379358291626
3,1,2,58.69,0.4299650192260742,6.146825313568115
3,2,2,58.03,0.4300978183746338,6.1008710861206055
3,3,2,64.54,0.4341926574707031,6.120490312576294
3,4,2,60.41,0.4321558475494385,6.240910291671753
4,0,3,68.51,0.4371483325958252,6.215075969696045
4,1,3,62.04,0.4441561698913574,6.224504470825195
4,2,3,62.24,0.43647217750549316,6.247787237167358
4,3,3,70.71,0.4412200450897217,6.1772541999816895
4,4,3,63.77,0.4478635787963867,6.122651815414429
5,0,4,74.27,0.4519059658050537,6.299701452255249
5,1,4,69.35,0.4132080078125,6.286700487136841
5,2,4,68.52,0.4483189582824707,6.2802348136901855
5,3,4,72.06,0.41724634170532227,6.314326047897339
5,4,4,68.45,0.43147969245910645,6.291756868362427
6,0,5,75.35,0.44223666191101074,6.420763254165649
6,1,5,72.69,0.4293215274810791,6.730951547622681
6,2,5,72.07,0.4451320171356201,6.414294719696045
6,3,5,73.61,0.5300900936126709,6.5842273235321045
6,4,5,70.65,0.4302787780761719,6.958176851272583
7,0,6,76.12,0.5106496810913086,6.4195945262908936
7,1,6,74.37,0.4485492706298828,6.54032564163208
7,2,6,73.3,0.4331033229827881,6.428462266921997
7,3,6,75.31,0.43073177337646484,6.483860731124878
7,4,6,73.72,0.4321255683898926,6.488970756530762
8,0,7,77.75,0.4584014415740967,6.4805943965911865
8,1,7,77.71,0.43965601921081543,6.594851016998291
8,2,7,76.01,0.4509267807006836,6.5064356327056885
8,3,7,76.38,0.43457961082458496,6.505730390548706
8,4,7,74.93,0.44936561584472656,6.47025465965271
9,0,8,79.41,0.464536190032959,6.278573751449585
9,1,8,79.04,0.4639427661895752,6.405393123626709
9,2,8,77.58,0.4529850482940674,6.296345949172974
9,3,8,78.69,0.45195484161376953,6.262422561645508
9,4,8,75.86,0.4732327461242676,6.249898910522461
10,0,9,79.82,0.4557220935821533,6.453348398208618
10,1,9,79.47,0.4438493251800537,6.4874231815338135
10,2,9,79.09,0.44697117805480957,6.470906019210815
10,3,9,79.78,0.45560407638549805,6.4879310131073
10,4,9,76.66,0.4524269104003906,6.425281763076782
15,0,14,83.67,0.500962495803833,17.772218704223633
15,1,14,84.08,0.46977734565734863,17.827078104019165
15,2,14,82.74,0.475130558013916,17.918939352035522
15,3,14,83.45,0.4830167293548584,17.822516202926636
15,4,14,83.55,0.485576868057251,17.863908052444458
20,0,19,85.35,0.5162837505340576,17.84764051437378
20,1,19,87.26,0.5016250610351562,17.87264347076416
20,2,19,84.87,0.49030590057373047,17.91799807548523
20,3,19,86.29,0.5099232196807861,17.863903760910034
20,4,19,86.39,0.5022869110107422,17.848397493362427
30,0,24,89.3,0.5854630470275879,18.28912329673767
30,1,24,89.87,0.5858564376831055,26.187254190444946
30,2,24,87.51,0.7608287334442139,19.247640371322632
30,3,24,88.16,0.5791201591491699,18.307230472564697
30,4,24,88.54,0.6328136920928955,18.317410945892334
40,0,24,90.94,0.637711763381958,18.34199547767639
40,1,24,91.21,0.6390535831451416,18.334271907806396
40,2,24,89.45,0.6323959827423096,18.1917085647583
40,3,24,89.3,0.6498618125915527,18.44431233406067
40,4,24,90.78,0.6332769393920898,18.23674178123474
60,0,24,92.48,0.7956123352050781,18.24117136001587
60,1,24,92.69,0.7718870639801025,18.306963682174683
60,2,24,91.26,0.7798442840576172,18.317880153656006
60,3,24,91.74,0.78342604637146,18.38530969619751
60,4,24,91.85,0.7900409698486328,18.43398880958557
100,0,24,93.7,1.0645155906677246,18.667044401168823
100,1,24,93.58,1.084184169769287,18.557732582092285
100,2,24,93.39,1.1419119834899902,18.533342838287354
100,3,24,93.17,1.0716350078582764,18.546181440353394
100,4,24,93.32,1.086622953414917,18.27067494392395
150,0,24,94.34,1.512054204940796,18.349267721176147
150,1,24,94.28,1.495370864868164,18.45336890220642
150,2,24,93.9,1.517038106918335,18.31476140022278
150,3,24,93.87,1.4963083267211914,18.40947151184082
150,4,24,94.02,1.5124478340148926,18.388774156570435
200,0,24,94.62,1.8681797981262207,18.558626651763916
200,1,24,94.6,1.8871021270751953,18.37549638748169
200,2,24,94.6,1.9035499095916748,18.79468822479248
200,3,24,94.27,1.9224004745483398,18.380403995513916
200,4,24,94.53,1.9187796115875244,18.236969470977783
