samples_per_class,accuracy_mean,accuracy_std,runs,train_time_mean,test_time_mean
1,38.69,6.344651290654198,5,0.6431867599487304,7.714580154418945
2,51.984,2.631868157792103,5,0.460450553894043,6.173687553405761
3,59.962,2.7308002490112693,5,0.43729310035705565,6.129695272445678
4,65.454,3.9301946516680313,5,0.44137206077575686,6.197454738616943
5,70.53,2.553791299225532,5,0.4324317932128906,6.294543933868408
6,72.874,1.753476546749338,5,0.45541181564331057,6.621682739257812
7,74.564,1.1538327435118167,5,0.4510319232940674,6.472242784500122
8,76.556,1.1969043403714423,5,0.44658589363098145,6.511573219299317
9,78.116,1.4347926679489245,5,0.46133031845092776,6.298526859283447
10,78.964,1.3208822809016696,5,0.45091471672058103,6.4649780750274655
15,83.498,0.48679564500928185,5,0.4828927993774414,17.840932083129882
20,86.03200000000001,0.9378272762081532,5,0.5040849685668946,17.870116662979125
30,88.676,0.9299623648298938,5,0.6288164138793946,20.069731855392455
40,90.336,0.8922051333633958,5,0.6384600162506103,18.3098060131073
60,92.00399999999999,0.5796809467284614,5,0.7841621398925781,18.337062740325926
100,93.43199999999999,0.21016660058154346,5,1.089773941040039,18.51499524116516
150,94.08200000000001,0.21661024906499254,5,1.5066438674926759,18.38312873840332
200,94.524,0.1460479373356621,5,1.900002384185791,18.46923694610596
